generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
31,83016,37920,11765,0.384305,0.630098,0.177494,0.0,0.5,0.525,6.0,linear
32,83127,37078,10406,0.397621,0.64789,0.187158,0.0,0.5,0.525,6.0,linear
33,82888,36474,9266,0.411123,0.666763,0.196085,0.0,0.5,0.525,6.0,linear
34,82045,35824,8202,0.423927,0.684292,0.204334,0.0,0.5,0.525,6.0,linear
35,82065,35236,7205,0.436043,0.702488,0.212093,0.0,0.5,0.525,6.0,linear
36,81932,34391,6211,0.447503,0.718904,0.220231,0.0,0.5,0.525,6.0,linear
37,81431,33695,5513,0.45932,0.734737,0.226465,0.0,0.5,0.525,6.0,linear
38,80582,32890,4810,0.469958,0.748023,0.23314,0.0,0.5,0.525,6.0,linear
39,79884,32287,4266,0.481244,0.762568,0.238383,0.0,0.5,0.525,6.0,linear
40,79730,31397,3659,0.490719,0.775671,0.243683,0.0,0.5,0.525,6.0,linear
41,78962,30891,3227,0.500233,0.787235,0.24803,0.0,0.5,0.525,6.0,linear
42,78290,30190,2799,0.510034,0.798852,0.252024,0.0,0.5,0.525,6.0,linear
43,77611,29524,2436,0.519762,0.809776,0.255699,0.0,0.5,0.525,6.0,linear
44,76657,28795,2137,0.527716,0.820613,0.25838,0.0,0.5,0.525,6.0,linear
45,76051,28182,1869,0.537341,0.831598,0.260868,0.0,0.5,0.525,6.0,linear
46,75330,27610,1654,0.545104,0.841459,0.26341,0.0,0.5,0.525,6.0,linear
47,74270,26834,1488,0.553383,0.852016,0.265889,0.0,0.5,0.525,6.0,linear
48,73267,26193,1294,0.561709,0.861688,0.26738,0.0,0.5,0.525,6.0,linear
49,73136,25677,1136,0.569172,0.870596,0.27077,0.0,0.5,0.525,6.0,linear
50,71891,24879,919,0.576455,0.878583,0.271578,0.0,0.5,0.525,6.0,linear
51,71043,24208,793,0.583914,0.885393,0.272445,0.0,0.5,0.525,6.0,linear
52,70180,23675,686,0.59006,0.892308,0.274867,0.0,0.5,0.525,6.0,linear
53,69260,23003,611,0.594796,0.897803,0.275948,0.0,0.5,0.525,6.0,linear
54,67954,22403,550,0.600995,0.904118,0.277243,0.0,0.5,0.525,6.0,linear
55,67180,21900,509,0.606116,0.908836,0.278183,0.0,0.5,0.525,6.0,linear
56,65781,21303,463,0.611481,0.914204,0.279735,0.0,0.5,0.525,6.0,linear
57,65365,21065,424,0.615204,0.919059,0.281148,0.0,0.5,0.525,6.0,linear
58,64544,20469,368,0.619785,0.923581,0.281566,0.0,0.5,0.525,6.0,linear
59,63686,20048,317,0.623656,0.927011,0.282613,0.0,0.5,0.525,6.0,linear
60,62883,19634,268,0.62883,0.93216,0.283524,0.0,0.5,0.525,6.0,linear
61,62152,19040,237,0.63146,0.935779,0.285788,0.0,0.5,0.525,6.0,linear
62,61103,18535,213,0.637585,0.940935,0.284038,0.0,0.5,0.525,6.0,linear
63,60297,18072,196,0.641484,0.94527,0.284397,0.0,0.5,0.525,6.0,linear
64,59737,17812,173,0.646142,0.948308,0.284338,0.0,0.5,0.525,6.0,linear
65,58733,17291,151,0.649627,0.951665,0.284076,0.0,0.5,0.525,6.0,linear
66,57742,16842,136,0.653372,0.95547,0.285468,0.0,0.5,0.525,6.0,linear
